id,availability,condition,title,description,link,image_link,price,brand,item_group_id,google_product_category,color,material,pattern
"T_AUR_1","in stock","new","Aurangzeb Blend","A floral and fragrant blend of classic Assam tea with cardamom and spicy ginger, embellished with roses, jasmine and marigolds, reviving the senses and reawakening soul of Mughal Delhi. Aurangzeb Blend may be steeped and sweetened to taste with honey.","http://www.threecliveroad.com/aurangzeb-blend.html","http://www.threecliveroad.com/media/catalog/product/a/u/aurangzeb-bland.jpg","1450.00 INR","NO.3 CLIVE ROAD","","","","",""
"T_JOD_1","in stock","new","Jodhpur Blend","Our interpretation of Earl Grey combines Assam tea, bergamot oil, dried orange, fennel and cornflower petals, reminiscent of the blue pigment which graces the walls of the city of Jodhpur. Jodhpur Blend may be steeped and sweetened with honey or enjoyed","http://www.threecliveroad.com/jodhpur-blend.html","http://www.threecliveroad.com/media/catalog/product/j/o/jodhpur-bland.jpg","1450.00 INR","NO.3 CLIVE ROAD","","","","",""
"T_KASH_1","in stock","new","Kashmiri Kahwa","A flavourful green tea with cinnamon, cardamom, roses and a hint of saffron which recalls the majestic Kashmir Valley, a place which the Sufi saints called paradise on earth. Kashmiri Kahwa may be steeped, sweetened to taste and garnished with almonds.","http://www.threecliveroad.com/kashmiri-kahwa.html","http://www.threecliveroad.com/media/catalog/product/k/a/kashmiri-kahwa.jpg","0.00","NO.3 CLIVE ROAD","","","","",""
"T_MAD_1","in stock","new","Madurai Masala Blend","An aromatic blend of Assam tea with cardamom, ginger, cloves, cinnamon, black pepper and marigolds, evoking the spirit of goddess Parvati, from the temple city of Madurai. Madurai Masala Blend may be steeped or boiled in water with milk and sweetened to","http://www.threecliveroad.com/madurai-masala-blend.html","http://www.threecliveroad.com/media/catalog/product/m/a/madurai-masala.jpg","1450.00 INR","NO.3 CLIVE ROAD","","","","",""
"T_MAL_1","in stock","new","Malabar Blend","A smooth and sophisticated blend of Nilgiri tea with sweet-scented vanilla, transporting you from the port city of Cochin on a gentle coastal breeze along the historic trade routes of the Arabian Sea. Malabar Blend may be steeped and sweetened with honey","http://www.threecliveroad.com/malabar-blend.html","http://www.threecliveroad.com/media/catalog/product/m/a/malabar-bland.jpg","1450.00 INR","NO.3 CLIVE ROAD","","","","",""
"P_CP_CRES_1","in stock","new","Crests","Everyone needs a family crest! Our crests are inspired by the family insignia of Maharajas that ruled India for centuries, featuring the regal peacock, the majestic elephant trumpeting in salute and the bountiful fruits of a royal banquet. Use our sophisticated correspondence sheets to bring back the lost art of letter writing! Boxed set of 12 illustrated correspondence sheets with 12 lined envelopes, each set includes three designs, four of each design. Digital printed & blind letter pressed. Illustrated by Happy Menocal. Box Dimensions: 18cm x 26cm x 3cm ( L x W x H )","http://www.threecliveroad.com/crests-p.html","http://www.threecliveroad.com/media/catalog/product/p/_/p_cp_cres_1_1.jpg","3700.00 INR","NO.3 CLIVE ROAD","","","","",""
"P_CP_GREE_1","in stock","new","Greetings From","Tongue-in-cheek series saying it like it is, because everyone has a friend who is a Maharaja, of course, or a second home in the hills. Illustrated by Happy Menocal.","http://www.threecliveroad.com/greetings-from.html","http://www.threecliveroad.com/media/catalog/product/p/_/p_cp_gree_1.jpg","3700.00 INR","NO.3 CLIVE ROAD","","","","",""
"P_CP_LUT_1","in stock","new","Lutyens New Delhi","The Lutyens New Delhi series captures the bungalows built in the early 1900s that grace the tree-lined neighbourhoods of Amrita-Sher Gill Marg, Aurangzeb Road, and Prithviraj Road in South Delhi. Illustrated by Happy Menocal.","http://www.threecliveroad.com/lutyens-new-delhi.html","http://www.threecliveroad.com/media/catalog/product/p/_/p_cp_lut_1.jpg","3700.00 INR","NO.3 CLIVE ROAD","","","","",""
"P_CP_MON_1","in stock","new","Monuments New Delhi","New Delhi’s rich history is scattered with over 1000 monuments throughout the busy metropolis, some dating as far back as 300 BC. These beautiful architectural structures are witness to the city’s grand past. Our notecards feature a sampling of three mo","http://www.threecliveroad.com/monuments-new-delhi.html","http://www.threecliveroad.com/media/catalog/product/p/_/p_cp_mon_1.jpg","3700.00 INR","NO.3 CLIVE ROAD","","","","",""
"P_NC_BIR_1","in stock","new","Birds of South Delhi","These beautifully illustrated notecards depict the birds of South Delhi. Peacocks often found roaming the farmhouses that surround Delhi, the ubiquitous pigeons and the Red Muni found in Lodi Gardens on rare occasions. Illustrated by Happy Menocal.","http://www.threecliveroad.com/birds-of-south-delhi.html","http://www.threecliveroad.com/media/catalog/product/p/_/p_nc_bir_1.jpg","3150.00 INR","NO.3 CLIVE ROAD","","","","",""
"P_NC_GREE_1","in stock","new","Greetings From","Tongue-in-cheek series saying it like it is, because everyone has a friend who is a Maharaja, of course, or a second home in the hills. Illustrated by Happy Menocal.","http://www.threecliveroad.com/greetings-from-p.html","http://www.threecliveroad.com/media/catalog/product/p/_/p_nc_gree_1.jpg","3150.00 INR","NO.3 CLIVE ROAD","","","","",""
"P_NC_LUT_1","in stock","new","Lutyens New Delhi","The Lutyens New Delhi series captures the bungalows built in the early 1900s that grace the tree-lined neighbourhoods of Amrita-Sher Gill Marg, Aurangzeb Road, and Prithviraj Road in South Delhi. Illustrated by Happy Menocal.","http://www.threecliveroad.com/lutyens-new-delhi-p.html","http://www.threecliveroad.com/media/catalog/product/p/_/p_nc_lut_1.jpg","3150.00 INR","NO.3 CLIVE ROAD","","","","",""
"P_NC_MON_1","out of stock","new","Monuments New Delhi","New Delhi’s rich history is scattered with over 1000 monuments throughout the busy metropolis, some dating as far back as 300 BC. These beautiful architectural structures are witness to the city’s grand past. Our notecards feature a sampling of three mo","http://www.threecliveroad.com/monuments-new-delhi-72.html","http://www.threecliveroad.com/media/catalog/product/p/_/p_nc_mon_1.jpg","3150.00 INR","NO.3 CLIVE ROAD","","","","",""
"P_T_CRES_1","in stock","new","Crests","Everyone needs a family crest! Our India-inspired favourites range from the regal peacock, the majestic elephant trumpeting in salute and the bountiful fruits of a royal banquet. Stamp your gift with a family crest you can call your own! Set of 9 Gift Tags, each set includes three designs, three of each. Illustrated die-cut tag with black & white thread. Illustrated by Happy Menocal.","http://www.threecliveroad.com/crests-72.html","http://www.threecliveroad.com/media/catalog/product/p/_/p_t_cres_2.jpg","650.00 INR","NO.3 CLIVE ROAD","","","","",""
"P_T_GREE_1","in stock","new","Cheers","Whatever the occasion, our Cheers tags allow you to personalise a gift 'with love', formal 'greetings' or a celebratory 'cheers'! Perfect with our gift box or a nice bottle of wine! Set of 9 Gift Tags, each set includes three designs, three of each. Illustrated die-cut tag with black & white thread. Illustrated by Happy Menocal. Box Dimensions: 18cm x 13cm x 3cm ( L x W x H )","http://www.threecliveroad.com/greetings-from-85.html","http://www.threecliveroad.com/media/catalog/product/p/_/p_t_gree_2.jpg","650.00 INR","NO.3 CLIVE ROAD","","","","",""
"P_T_BIR_1","in stock","new","Birds","These beautifully illustrated gift tags depict a few of the birds of South Delhi. The nations peacocks are found roaming the farmhouses that surround Delhi, whilst the ubiquitous pigeons nest in the building crevices across the city and the Red Munia can be found in Lodhi Garden on a rare occasion.Our tags are also perfect for a bottle of wine! Set of 9 Gift Tags, each set includes three designs, three of each. Illustrated die-cut tag with black & white thread. Illustrated by Happy Menocal. Box Dimensions: 18cm x 13cm x 3cm ( L x W x H )","http://www.threecliveroad.com/birds.html","http://www.threecliveroad.com/media/catalog/product/p/_/p_t_bir_2.jpg","650.00 INR","NO.3 CLIVE ROAD","","","","",""
"P_NC_BOM_1","in stock","new","The Bombay Series","Now known as Mumbai, the city of dreams will always remain Bombay. Stunning, timeless vignettes depict this bustling city and include the famous Victoria Terminus, the seafront located Gateway of India, and a classic scene from Crawford Market of a fisherwomen selling her wares. Our Bombay Series is a lovely insight into the vibrant city! Boxed set of 9 illustrated note cards with 9 lined envelopes, each set includes three designs, three of each. Digital printed & blind letter pressed. Illustrated by Happy Menocal. Box Dimensions: 18cm x 13cm x 3cm ( L x W x H )","http://www.threecliveroad.com/the-bombay-series.html","http://www.threecliveroad.com/media/catalog/product/p/_/p_nc_bom_1.jpg","3150.00 INR","NO.3 CLIVE ROAD","","","","",""
"T_Ayurvedic","in stock","new","Ayurvedic Blend","A caffeine-free, herbal tea infused with the ancient tradition of Ayurvedic medicine. Our custom blend of herbs and spices are beneficial in removing harmful toxins to regulate vata, pitta, and kapha doshas, keeping the mind and body in balance. Ayurvedic","http://www.threecliveroad.com/ayurvedic-blend.html","http://www.threecliveroad.com/media/catalog/product/a/y/ayurvedic-bland.jpg","1450.00 INR","NO.3 CLIVE ROAD","","","","",""
"T_Ayurvedic-100gm","out of stock","new","Ayurvedic Blend-100gm","A caffeine-free, herbal tea infused with the ancient tradition of Ayurvedic medicine. Our custom blend of herbs and spices are beneficial in removing harmful toxins to regulate vata, pitta, and kapha doshas, keeping the mind and body in balance. Ayurvedic","http://www.threecliveroad.com/ayurvedic-blend-100gm.html","http://www.threecliveroad.com/media/catalog/product/a/y/ayurvedic-blend.jpg","1450.00 INR","NO.3 CLIVE ROAD","T_Ayurvedic","","","",""
"T_Jaipur","in stock","new","Jaipur Blend","An indulgent blend of Assam black tea with dark chocolate and roses taking you to an evening sunset on Jal Mahal, the lake palace surrounded by the Aravali Hills in the pink city of Jaipur. Jaipur Blend may be steeped and sweetened to taste with honey.","http://www.threecliveroad.com/jaipur-blend.html","http://www.threecliveroad.com/media/catalog/product/j/a/jaipur-bland.jpg","1450.00 INR","NO.3 CLIVE ROAD","","","","",""
